assay_chembl_id,target_chembl_id,document_chembl_id,assay_type,description,bao_label,source_url
CHEMBL4332968,CHEMBL2148,CHEMBL4330124,B,Inhibition of human N-terminal His-tagged JAK3 (795 to 1124 residues) expressed in baculovirus expression system in presence of 6 uM ATP by HTRF assay,assay format,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL4332968.json
CHEMBL4332969,CHEMBL2148,CHEMBL4330124,B,Inhibition of human N-terminal His-tagged JAK3 (795 to 1124 residues) expressed in baculovirus expression system in presence of 1 mM ATP by HTRF assay,assay format,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL4332969.json
CHEMBL4005715,CHEMBL2148,CHEMBL4004825,B,Inhibition of recombinant human GST-tagged cytoplasmic JAK3 catalytic domain (781 to 1124 residues) expressed in baculovirus expression system using FITC-KGGEEEEYFELVKK as substrate in presence of 4 uM ATP by microfluidic assay,assay format,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL4005715.json
CHEMBL4005716,CHEMBL2148,CHEMBL4004825,B,Inhibition of recombinant human GST-tagged cytoplasmic JAK3 catalytic domain (781 to 1124 residues) expressed in baculovirus expression system using FITC-KGGEEEEYFELVKK as substrate in presence of 1 mM ATP by microfluidic assay,assay format,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL4005716.json
CHEMBL1039373,CHEMBL286,CHEMBL1153179,B,Inhibition of human recombinant renin assessed as decrease in plasma renin activity by competitive radioimmunoassay in presence of human plasma,single protein format,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL1039373.json
CHEMBL1039372,CHEMBL286,CHEMBL1153179,B,Inhibition of trypsin-activated human recombinant renin,single protein format,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL1039372.json
CHEMBL2073498,CHEMBL279,CHEMBL2069252,B,Inhibition of KDR by HTRF analysis in presence of 1 mM ATP,single protein format,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL2073498.json
CHEMBL2073500,CHEMBL279,CHEMBL2069252,B,Inhibition of human KDR autophosphorylation expressed in mouse NIH/3T3 cells,cell-based format,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL2073500.json
CHEMBL4005721,CHEMBL2148,CHEMBL4004825,B,Inhibition of JAK3 in human PBMC assessed as inhibition of IL-15 induced STAT5 phosphorylation preincubated for 75 mins followed by IL-15 addition and measured after 15 mins by Alexa Fluor 647 staining based flow cytometry,single protein format,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL4005721.json
CHEMBL4005714,CHEMBL2148,CHEMBL4004825,B,Inhibition of JAK3 in human whole blood assessed as inhibition of IL-15 induced STAT5 phosphorylation preincubated for 45 mins followed by IL-15 addition and measured after 15 mins by Alexa Fluor 647 staining based flow cytometric analysis,single protein format,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL4005714.json
