drug,drug_with_aliases,WT_Kd_nM,WT_Kd_relation,WT_Kd_N_reported,C481S_Kd_nM_boundary,C481S_Kd_relation,C481S_Kd_N_reported,C481S_over_WT_ratio_boundary,ratio_relation,log10_ratio_boundary,selectivity_category,kinome_hits,binding_source_pmc,mechanism_and_table_correction_pmc,mechanism,WT_strength_score,mutation_contrast_score_lower_bound
Branebrutinib,Branebrutinib (BMS-986195),0.11,=,4,430.0,=,1,3909.090909090909,=,3.5920757704213613,high,10,PMC11997881,PMC13162048,covalent,0.958607314841775,3.5920757704213613
Remibrutinib,Remibrutinib (LOU064),0.25,=,4,210.0,=,1,840.0,=,2.9242792860618816,high,2,PMC11997881,PMC13162048,covalent,0.6020599913279624,2.9242792860618816
Zanubrutinib,"Zanubrutinib (BGB-3111, Brukinsa)",0.38,=,4,49.0,=,1,128.94736842105263,=,2.1104124834117033,moderate,20,PMC11997881,PMC13162048,covalent,0.42021640338318983,2.1104124834117033
Ibrutinib,"Ibrutinib (Imbruvica, PCI-32765)",0.62,=,4,7.5,=,1,12.096774193548388,=,1.0826695738934462,low,65,PMC11997881,PMC13162048,covalent,0.20760831050174613,1.0826695738934462
Pirtobrutinib,Pirtobrutinib (LOXO-305),0.81,=,1,0.89,=,1,1.0987654320987654,=,0.040904987766263036,moderate,15,PMC11997881,PMC13162048,noncovalent,0.09151498112135022,0.040904987766263036
Tolebrutinib,"Tolebrutinib (SAR-442168, PRN2246)",1.1,=,4,15.0,=,1,13.636363636363635,=,1.1346985738974562,moderate,26,PMC11997881,PMC13162048,covalent,-0.04139268515822508,1.1346985738974562
Fenebrutinib,Fenebrutinib (GDC-0853),1.5,=,1,0.17,=,1,0.11333333333333334,=,-0.9456423376774072,high,7,PMC11997881,PMC13162048,noncovalent,-0.17609125905568124,-0.9456423376774072
Poseltinib,"Poseltinib (LY-3337641, HM-71224)",1.5,=,1,1000.0,>,1,666.6666666666666,>,2.8239087409443187,moderate,17,PMC11997881,PMC13162048,covalent,-0.17609125905568124,2.8239087409443187
Spebrutinib,"Spebrutinib (CC-292, AVL-292)",2.3,=,4,1000.0,>,1,434.7826086956522,>,2.638272163982407,moderate,47,PMC11997881,PMC13162048,covalent,-0.36172783601759284,2.638272163982407
Elsubrutinib,Elsubrutinib (ABBV-105),2.9,=,4,460.0,=,1,158.6206896551724,=,2.200359833782618,high,10,PMC11997881,PMC13162048,covalent,-0.4623979978989561,2.200359833782618
Acalabrutinib,"Acalabrutinib (Calaquence, ACP-196)",4.2,=,4,250.0,=,1,59.52380952380952,=,1.7746907182741372,high,10,PMC11997881,PMC13162048,covalent,-0.6232492903979004,1.7746907182741372
Orelabrutinib,Orelabrutinib (ICP-022),4.6,=,4,1000.0,>,1,217.3913043478261,>,2.337242168318426,high,4,PMC11997881,PMC13162048,covalent,-0.6627578316815741,2.337242168318426
Tirabrutinib,"Tirabrutinib (GSK-4059, ONO-4059, Velexbru)",5.6,=,4,250.0,=,1,44.642857142857146,=,1.6497519816658373,high,10,PMC11997881,PMC13162048,covalent,-0.7481880270062004,1.6497519816658373
Nemtabrutinib,"Nemtabrutinib (ARQ 531, MK-1026)",9.9,=,1,11.0,=,1,1.1111111111111112,=,0.04575749056067514,low,98,PMC11997881,PMC13162048,noncovalent,-0.9956351945975499,0.04575749056067514
Evobrutinib,Evobrutinib (M-2951),18.0,=,4,1000.0,>,1,55.55555555555556,>,1.744727494896694,high,11,PMC11997881,PMC13162048,covalent,-1.255272505103306,1.744727494896694
