molecule_chembl_id,canonical_smiles_first,activity_id_first,nM_first,potential_duplicate_first,data_validity_comment_first,document_chembl_id_first,canonical_smiles_second,activity_id_second,nM_second,potential_duplicate_second,data_validity_comment_second,document_chembl_id_second,pIC50_first,pIC50_second,delta_log10_second_over_first,inchi_key,in_metabind30_18
CHEMBL1650951,CC(C)(O)C(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,18957308,2.0,0,,CHEMBL4330124,CC(C)(O)C(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,18957343,685.0,0,,CHEMBL4330124,8.698970004336019,6.164309428507575,2.534660575828444,CLGRAWDGLMENOD-UHFFFAOYSA-N,True
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,18957307,1.7,0,,CHEMBL4330124,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,18957342,50.0,0,,CHEMBL4330124,8.769551078621726,7.301029995663981,1.4685210829577449,UJLAWZDWDVHWOW-YPMHNXCESA-N,True
CHEMBL4085457,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,18957309,0.4,0,,CHEMBL4330124,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,18957344,202.0,1,,CHEMBL4330124,9.397940008672037,6.694648630553376,2.7032913781186614,CBRJPFGIXUFMTM-WDEREUQCSA-N,True
CHEMBL4435664,C=CC(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,18957310,1.5,0,,CHEMBL4330124,C=CC(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,18957345,520.0,0,,CHEMBL4330124,8.823908740944319,6.2839966563652006,2.539912084579118,KAIWXKBZNMXPEK-UHFFFAOYSA-N,False
CHEMBL4439785,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1cc(N2CCN(C(=O)CBr)CC2)ccc1C(F)(F)F,18957322,19.0,0,,CHEMBL4330124,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1cc(N2CCN(C(=O)CBr)CC2)ccc1C(F)(F)F,18957357,709.0,0,,CHEMBL4330124,7.721246399047171,6.149353764816933,1.5718926342302375,JMAHETSDZZVQPS-UHFFFAOYSA-N,True
CHEMBL4441142,C=CC(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccc(F)cc45)C(=O)NC3=O)c2)CC1,18957326,5.4,0,,CHEMBL4330124,C=CC(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccc(F)cc45)C(=O)NC3=O)c2)CC1,18957361,895.0,0,,CHEMBL4330124,8.267606240177031,6.048176964684088,2.2194292754929434,VGPLCKCUFQEEGH-UHFFFAOYSA-N,True
CHEMBL4444087,C=CC(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5cc(F)ccc45)C(=O)NC3=O)c2)CC1,18957325,2.8,0,,CHEMBL4330124,C=CC(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5cc(F)ccc45)C(=O)NC3=O)c2)CC1,18957360,817.0,0,,CHEMBL4330124,8.55284196865778,6.087777943467584,2.465064025190196,KYSYXNYZPMZKAW-UHFFFAOYSA-N,True
CHEMBL4444559,C=CC(=O)N[C@@H]1CCCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)C1,18957315,21.0,0,,CHEMBL4330124,C=CC(=O)N[C@@H]1CCCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)C1,18957350,3690.0,0,,CHEMBL4330124,7.6777807052660805,5.432973633840939,2.244807071425141,STCBITIZMNQJLU-OAHLLOKOSA-N,True
CHEMBL4450627,C=CC(=O)N1CCN(c2ccc([N+](=O)[O-])c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,18957337,0.4,0,,CHEMBL4330124,C=CC(=O)N1CCN(c2ccc([N+](=O)[O-])c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,18957372,80.0,0,,CHEMBL4330124,9.397940008672037,7.096910013008056,2.3010299956639813,NFOCQUAETSVAIY-UHFFFAOYSA-N,True
CHEMBL4459688,C=CC(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5cc(C)ccc45)C(=O)NC3=O)c2)CC1,18957327,7.5,0,,CHEMBL4330124,C=CC(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5cc(C)ccc45)C(=O)NC3=O)c2)CC1,18957362,650.0,0,,CHEMBL4330124,8.1249387366083,6.187086643357144,1.9378520932511556,QBRQZVAAFQBAFX-UHFFFAOYSA-N,True
