molecule_chembl_id,document_chembl_id,kdr_biochem_ic50_nM,kdr_biochem_activity_id,kdr_cell_ic50_nM,kdr_cell_activity_id,log10_kdr_cell_over_biochem,p_kdr_biochem,p_kdr_cell,aurorab_biochem_activity_id,aurorab_biochem_type,aurorab_biochem_relation,aurorab_biochem_value,aurorab_biochem_unit,aurorab_biochem_potential_duplicate,p_aurorab_biochem,polyploidy_cell_activity_id,polyploidy_cell_type,polyploidy_cell_relation,polyploidy_cell_value,polyploidy_cell_unit,polyploidy_cell_potential_duplicate,p_polyploidy_cell,solubility_activity_id,solubility_type,solubility_relation,solubility_value,solubility_unit,solubility_potential_duplicate,p_solubility,microsome_stability_activity_id,microsome_stability_type,microsome_stability_relation,microsome_stability_value,microsome_stability_unit,microsome_stability_potential_duplicate,p_microsome_stability
CHEMBL1614709,CHEMBL2069252,95.0,10986018,19.0,10986086,-0.6989700043360187,7.022276394711152,7.721246399047171,10986052,IC50,=,54.0,nM,0,7.267606240177031,10986120,EC15,=,1.0,nM,0,9.0,,,,,,,,,,,,,,
CHEMBL1980297,CHEMBL2069252,2.0,10986017,3.0,10986085,0.17609125905568124,8.698970004336019,8.522878745280337,10986051,IC50,=,7.0,nM,0,8.154901959985743,10986119,EC15,=,12.0,nM,0,7.920818753952375,,,,,,,,,,,,,,
CHEMBL2071200,CHEMBL2069252,12.0,10986025,35.0,10986093,0.4648867983026508,7.920818753952375,7.455931955649724,10986059,IC50,=,28.0,nM,0,7.552841968657781,10986127,EC15,=,3.0,nM,0,8.522878745280337,,,,,,,,,,,,,,
CHEMBL2071201,CHEMBL2069252,13.0,10986026,9.0,10986094,-0.1597008428675119,7.886056647693163,8.045757490560675,10986060,IC50,=,42.0,nM,0,7.376750709602099,10986128,EC15,<,3.0,nM,0,,,,,,,,,,,,,,,
CHEMBL2071202,CHEMBL2069252,14.0,10986027,20.0,10986095,0.1549019599857432,7.853871964321762,7.698970004336019,10986061,IC50,=,29.0,nM,0,7.537602002101044,10986129,EC15,<,3.0,nM,0,,10986153,Solubility,=,78000.0,nM,0,,10986164,Stability,=,44.0,%,0,
CHEMBL2071203,CHEMBL2069252,74.0,10986028,61.0,10986096,-0.08390188472020915,7.130768280269024,7.214670164989233,10986062,IC50,=,66.0,nM,0,7.180456064458131,10986130,EC15,=,10.0,nM,0,8.0,,,,,,,,,,,,,,
CHEMBL2071210,CHEMBL2069252,19.0,10986035,84.0,10986103,0.6455256851090527,7.721246399047171,7.075720713938118,10986069,IC50,=,8.0,nM,0,8.096910013008056,10986137,EC15,=,1.0,nM,0,9.0,,,,,,,,,,,,,,
CHEMBL2071216,CHEMBL2069252,3.0,10986041,8.0,10986109,0.4259687322722811,8.522878745280337,8.096910013008056,10986075,IC50,=,8.0,nM,0,8.096910013008056,10986143,EC15,<,1.0,nM,0,,10986154,Solubility,=,70000.0,nM,0,,10986165,Stability,=,13.0,%,0,
CHEMBL2071217,CHEMBL2069252,7.0,10986042,42.0,10986110,0.7781512503836436,8.154901959985743,7.376750709602099,10986076,IC50,=,12.0,nM,0,7.920818753952375,10986144,EC15,<,1.0,nM,0,,10986155,Solubility,=,4000.0,nM,0,,10986166,Stability,<,1.0,%,0,
CHEMBL2071270,CHEMBL2069252,6.0,10986043,48.0,10986111,0.9030899869919435,8.221848749616356,7.318758762624412,10986077,IC50,=,19.0,nM,0,7.721246399047171,10986145,EC15,<,1.0,nM,0,,10986156,Solubility,=,70000.0,nM,0,,10986167,Stability,=,45.0,%,0,
CHEMBL2071272,CHEMBL2069252,18.0,10986045,167.0,10986113,0.9674439660442773,7.7447274948966935,6.777283528852417,10986079,IC50,=,25.0,nM,0,7.6020599913279625,10986147,EC15,=,19.0,nM,0,7.721246399047171,10986158,Solubility,=,68000.0,nM,0,,10986169,Stability,=,68.0,%,0,
CHEMBL2071273,CHEMBL2069252,6.0,10986046,89.0,10986114,1.1712387562612692,8.221848749616356,7.050609993355087,10986080,IC50,=,26.0,nM,0,7.585026652029182,10986148,EC15,=,11.0,nM,0,7.958607314841775,10986159,Solubility,=,72000.0,nM,0,,10986170,Stability,=,88.0,%,0,
CHEMBL2071274,CHEMBL2069252,9.0,10986047,78.0,10986115,0.9378520932511555,8.045757490560675,7.107905397309519,10986081,IC50,=,27.0,nM,0,7.568636235841012,10986149,EC15,<,3.0,nM,0,,10986160,Solubility,=,85000.0,nM,0,,10986171,Stability,=,4.0,%,0,
CHEMBL2071275,CHEMBL2069252,2.0,10986048,55.0,10986116,1.4393326938302626,8.698970004336019,7.259637310505756,10986082,IC50,=,12.0,nM,0,7.920818753952375,10986150,EC15,=,1.0,nM,0,9.0,10986161,Solubility,=,68000.0,nM,0,,10986172,Stability,=,76.0,%,0,
CHEMBL2071276,CHEMBL2069252,2.0,10986049,44.0,10986117,1.3424226808222062,8.698970004336019,7.356547323513812,10986083,IC50,=,12.0,nM,0,7.920818753952375,10986151,EC15,=,1.0,nM,0,9.0,10986162,Solubility,=,70000.0,nM,0,,10986173,Stability,=,48.0,%,0,
CHEMBL2071277,CHEMBL2069252,15.0,10986050,49.0,10986118,0.5141048209728324,7.823908740944319,7.309803919971486,10986084,IC50,=,15.0,nM,0,7.823908740944319,10986152,EC15,=,11.0,nM,0,7.958607314841775,10986163,Solubility,=,86000.0,nM,0,,10986174,Stability,=,48.0,%,0,
