comparison,molecule_chembl_id,canonical_smiles_first,activity_id_first,nM_first,potential_duplicate_first,data_validity_comment_first,document_chembl_id_first,canonical_smiles_second,activity_id_second,nM_second,potential_duplicate_second,data_validity_comment_second,document_chembl_id_second,pIC50_first,pIC50_second,delta_log10_second_over_first
kdr_htrf_vs_cell,CHEMBL1614709,Cc1cc(Nc2ncc(F)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)ccc1N1CCN(C)CC1,10986018,95.0,0,,CHEMBL2069252,Cc1cc(Nc2ncc(F)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)ccc1N1CCN(C)CC1,10986086,19.0,0,,CHEMBL2069252,7.022276394711152,7.721246399047171,-0.6989700043360187
kdr_htrf_vs_cell,CHEMBL1980297,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,10986017,2.0,0,,CHEMBL2069252,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,10986085,3.0,0,,CHEMBL2069252,8.698970004336019,8.522878745280337,0.17609125905568124
kdr_htrf_vs_cell,CHEMBL2071200,Cn1cc(Nc2ncc(C(F)(F)F)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,10986025,12.0,0,,CHEMBL2069252,Cn1cc(Nc2ncc(C(F)(F)F)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,10986093,35.0,0,,CHEMBL2069252,7.920818753952375,7.455931955649724,0.4648867983026508
kdr_htrf_vs_cell,CHEMBL2071201,Cn1cc(Nc2ncc(Br)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,10986026,13.0,0,,CHEMBL2069252,Cn1cc(Nc2ncc(Br)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,10986094,9.0,0,,CHEMBL2069252,7.886056647693163,8.045757490560675,-0.1597008428675119
kdr_htrf_vs_cell,CHEMBL2071202,Cn1cc(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,10986027,14.0,0,,CHEMBL2069252,Cn1cc(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,10986095,20.0,0,,CHEMBL2069252,7.853871964321762,7.698970004336019,0.1549019599857432
kdr_htrf_vs_cell,CHEMBL2071203,Cn1cc(Nc2ncc(C(F)(F)F)c(N[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3C(N)=O)n2)cn1,10986028,74.0,0,,CHEMBL2069252,Cn1cc(Nc2ncc(C(F)(F)F)c(N[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3C(N)=O)n2)cn1,10986096,61.0,0,,CHEMBL2069252,7.130768280269024,7.214670164989233,-0.08390188472020915
kdr_htrf_vs_cell,CHEMBL2071210,Cn1cc(Nc2ncc(Cl)c(N[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3C(N)=O)n2)cn1,10986035,19.0,0,,CHEMBL2069252,Cn1cc(Nc2ncc(Cl)c(N[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3C(N)=O)n2)cn1,10986103,84.0,0,,CHEMBL2069252,7.721246399047171,7.075720713938118,0.6455256851090527
kdr_htrf_vs_cell,CHEMBL2071216,CCn1cc(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,10986041,3.0,0,,CHEMBL2069252,CCn1cc(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,10986109,8.0,0,,CHEMBL2069252,8.522878745280337,8.096910013008056,0.4259687322722811
kdr_htrf_vs_cell,CHEMBL2071217,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cnn(Cc4ccccc4)c3)ncc2Cl)[C@H]2C=C[C@@H]1C2,10986042,7.0,0,,CHEMBL2069252,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cnn(Cc4ccccc4)c3)ncc2Cl)[C@H]2C=C[C@@H]1C2,10986110,42.0,0,,CHEMBL2069252,8.154901959985743,7.376750709602099,0.7781512503836436
kdr_htrf_vs_cell,CHEMBL2071270,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cnn(CCO)c3)ncc2Cl)[C@H]2C=C[C@@H]1C2,10986043,6.0,0,,CHEMBL2069252,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cnn(CCO)c3)ncc2Cl)[C@H]2C=C[C@@H]1C2,10986111,48.0,0,,CHEMBL2069252,8.221848749616356,7.318758762624412,0.9030899869919435
