pair,method,n_test_molecules,mae_both_conditions_pIC50,mae_first_pIC50,mae_second_pIC50,mae_delta_log10,median_abs_delta_error_log10
JAK3_2019_ATP,average_pIC50,20,1.149496728304503,1.1091192536186092,1.1898742029903968,2.2989934566090064,2.3621379348003932
JAK3_2019_ATP,discard_second_assay,20,1.446671155374289,0.5383973161351812,2.3549449946133967,2.2989934566090064,2.3621379348003932
JAK3_2019_ATP,pool_no_context,20,1.149496728304503,1.1091192536186092,1.1898742029903968,2.2989934566090064,2.3621379348003932
JAK3_2019_ATP,context_global_offset,20,0.4412056709321591,0.5088295160564138,0.37358182580790456,0.4045251938603213,0.33704776935321057
JAK3_2019_ATP,context_structure_interaction,20,0.40389929768878174,0.538397316135181,0.26940127924238233,0.3761815707603342,0.30445887371668334
JAK3_2017_ATP,average_pIC50,6,1.0264388528825072,1.1764140227174151,0.8764636830475993,1.9565586744695853,2.0133347141687574
JAK3_2017_ATP,discard_second_assay,6,1.2902892273833932,0.7329236639705287,1.847654790796258,1.9565586744695853,2.0133347141687574
JAK3_2017_ATP,pool_no_context,6,1.0264388528825072,1.1764140227174151,0.8764636830475993,1.9565586744695853,2.0133347141687574
JAK3_2017_ATP,context_global_offset,6,0.7067502031735824,0.7414627199853568,0.6720376863618078,0.23981252653246013,0.11898792169608363
JAK3_2017_ATP,context_structure_interaction,6,0.7067502031735824,0.7329236639705292,0.6805767423766356,0.3548050709326264,0.23061167599693233
renin_plasma_trypsin,average_pIC50,27,0.5583809744567086,0.5784348163370907,0.5383271325763267,0.779566443186288,0.7550859463149528
renin_plasma_trypsin,discard_second_assay,27,0.6290988533744459,0.4657006382356019,0.7924970685132898,0.779566443186288,0.7550859463149528
renin_plasma_trypsin,pool_no_context,27,0.5583809744567086,0.5784348163370907,0.5383271325763267,0.779566443186288,0.7550859463149528
renin_plasma_trypsin,context_global_offset,27,0.47930571245779824,0.47775003778719144,0.480861387128405,0.26286131612684177,0.2593441778718013
renin_plasma_trypsin,context_structure_interaction,27,0.4841019778775306,0.46570063823560226,0.5025033175194591,0.29018127297826707,0.2325682023546678
KDR_HTRF_cell,average_pIC50,16,0.47922227817729524,0.4853530437058712,0.47309151264871935,0.6789739634504213,0.672247844722536
KDR_HTRF_cell,discard_second_assay,16,0.5721415238713289,0.43546841046139284,0.7088146372812649,0.6789739634504213,0.672247844722536
KDR_HTRF_cell,pool_no_context,16,0.47922227817729524,0.4853530437058712,0.47309151264871935,0.6789739634504213,0.672247844722536
KDR_HTRF_cell,context_global_offset,16,0.38665323084917147,0.4076891448587096,0.3656173168396333,0.49277841826855734,0.42203281326852427
KDR_HTRF_cell,context_structure_interaction,16,0.3764460175324093,0.435468410461393,0.3174236246034256,0.45245373568824654,0.40780018890577097
JAK3_2019_ATP_flag_sensitivity,average_pIC50,19,1.159145263699547,1.111655904653108,1.2066346227459857,2.277714618634814,2.3010299956639795
JAK3_2019_ATP_flag_sensitivity,discard_second_assay,19,1.4249031551189208,0.522660946337151,2.327145363900691,2.277714618634814,2.3010299956639795
JAK3_2019_ATP_flag_sensitivity,pool_no_context,19,1.159145263699547,1.111655904653108,1.2066346227459857,2.277714618634814,2.3010299956639795
JAK3_2019_ATP_flag_sensitivity,context_global_offset,19,0.4523775471000933,0.5054228891161471,0.3993322050840395,0.40571997776725777,0.2767639918300979
JAK3_2019_ATP_flag_sensitivity,context_structure_interaction,19,0.41003697520211896,0.5226609463371512,0.29741300406708676,0.31900458637327417,0.28673894119338605
