molecule_chembl_id,wt_assay_chembl_id,l1196m_assay_chembl_id,wt_activity_id,l1196m_activity_id,document_chembl_id,wt_potential_duplicate,l1196m_potential_duplicate,wt_data_validity_comment,l1196m_data_validity_comment,endpoint_note
CHEMBL1738797,CHEMBL3748820,CHEMBL3748823,16426656,16427291,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL2403108,CHEMBL3748820,CHEMBL3748823,16426655,16427290,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3397300,CHEMBL3748820,CHEMBL3748823,16426654,16427289,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3734844,CHEMBL3748820,CHEMBL3748823,16426645,16427280,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3735401,CHEMBL3748820,CHEMBL3748823,16426639,16427274,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3736273,CHEMBL3748820,CHEMBL3748823,16426644,16427279,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3746395,CHEMBL3748820,CHEMBL3748823,16426649,16427284,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3746482,CHEMBL3748820,CHEMBL3748823,16426651,16427286,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3746522,CHEMBL3748820,CHEMBL3748823,16426643,16427278,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3746665,CHEMBL3748820,CHEMBL3748823,16426647,16427282,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3746678,CHEMBL3748820,CHEMBL3748823,16426642,16427277,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3746960,CHEMBL3748820,CHEMBL3748823,16426646,16427281,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3747108,CHEMBL3748820,CHEMBL3748823,16426640,16427275,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3747134,CHEMBL3748820,CHEMBL3748823,16426650,16427285,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3747267,CHEMBL3748820,CHEMBL3748823,16426641,16427276,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3747406,CHEMBL3748820,CHEMBL3748823,16426652,16427287,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL3747611,CHEMBL3748820,CHEMBL3748823,16426648,16427283,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
CHEMBL601719,CHEMBL3748820,CHEMBL3748823,16426653,16427288,CHEMBL3745656,0,0,,,"Ba/F3 MTS cell viability at 72 h, not a direct phospho-ALK endpoint; original Table 1 caption conflicts with footnote"
