source_id,assay_axis,molecule_id,canonical_smiles,first_ic50_nM,second_ic50_nM,first_relation,second_relation
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL1738797,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,2.0,90.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL2403108,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,41.0,64.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3397300,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,5.0,3.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3734844,CCc1cc2c(cc1-c1cnn(C3CCOCC3)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,78.0,535.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3735401,CCc1cc2c(cc1-c1cnn(CC(=O)N(C)C)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,2.0,58.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3736273,CCc1cc2c(cc1-c1cnn(C3CCNCC3)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,40.0,262.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3746395,CCc1cc2c(cc1-c1cnoc1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,59.0,634.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3746482,CCc1cc2c(cc1-c1cn[nH]c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,64.0,422.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3746522,CCc1cc2c(cc1-c1cnn(CCN(C)C)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,2.0,80.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3746665,CCc1cc2c(cc1N1CCC(N(C)C)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,2.0,10.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3746678,CCc1cc2c(cc1-c1cnn(CCCN(C)C)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,14.0,94.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3746960,CCc1cc2c(cc1N1CCN(C)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,2.0,199.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3747108,CCc1cc2c(cc1-c1cnn(C(=O)N(C)C)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,56.0,483.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3747134,CCc1cc2c(cc1-c1cc[nH]n1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,50.0,273.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3747267,CCc1cc2c(cc1-c1cnn(C(C)(C)C(=O)N(C)C)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,6.0,91.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3747406,CCc1cc2c(cc1-c1cnn(C)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,61.0,370.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL3747611,CCc1cc2c(cc1-c1cnn[nH]1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,115.0,629.0,=,=
CHEMBL3745656_PMC4907642_BaF3_WT_vs_L1196M_MTS72h,target_site_variant,CHEMBL601719,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,56.0,549.0,=,=
