molecule_id,wt_ic50_nM,l1196m_ic50_nM,g1202r_ic50_nM,g1202r_relation,g1202r_activity_id,parental_ic50_nM,parental_relation,parental_activity_id
CHEMBL1738797,2.0,90.0,207.0,=,16427322,1000.0,>,16427376
CHEMBL2403108,41.0,64.0,444.0,=,16427323,5512.0,=,16427377
CHEMBL3397300,5.0,3.0,56.0,=,16427324,1921.0,=,16427378
CHEMBL3734844,78.0,535.0,20.0,=,16427333,924.0,=,16427387
CHEMBL3735401,2.0,58.0,2.0,=,16427339,591.0,=,16427393
CHEMBL3736273,40.0,262.0,37.0,=,16427334,768.0,=,16427388
CHEMBL3746395,59.0,634.0,82.0,=,16427329,7324.0,=,16427383
CHEMBL3746482,64.0,422.0,22.0,=,16427327,564.0,=,16427381
CHEMBL3746522,2.0,80.0,8.0,=,16427335,1338.0,=,16427389
CHEMBL3746665,2.0,10.0,214.0,=,16427331,6255.0,=,16427385
CHEMBL3746678,14.0,94.0,14.0,=,16427336,831.0,=,16427390
CHEMBL3746960,2.0,199.0,478.0,=,16427332,5646.0,=,16427386
CHEMBL3747108,56.0,483.0,25.0,=,16427338,1647.0,=,16427392
CHEMBL3747134,50.0,273.0,32.0,=,16427328,545.0,=,16427382
CHEMBL3747267,6.0,91.0,2.0,=,16427337,577.0,=,16427391
CHEMBL3747406,61.0,370.0,21.0,=,16427326,1651.0,=,16427380
CHEMBL3747611,115.0,629.0,80.0,=,16427330,3014.0,=,16427384
CHEMBL601719,56.0,549.0,328.0,=,16427325,927.0,=,16427379
