molecule_id,canonical_smiles,source_document,WT_relation,WT_nM,C1156Y_relation,C1156Y_nM,F1174L_relation,F1174L_nM,L1196M_relation,L1196M_nM,L1152R_relation,L1152R_nM,1151Tins_relation,1151Tins_nM,G1202R_relation,G1202R_nM,G1269A_relation,G1269A_nM,S1206Y_relation,S1206Y_nM,parental_BaF3_relation,parental_BaF3_nM
CHEMBL1738797,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,2.0,=,2.0,=,3.0,=,90.0,=,169.0,=,72.0,=,207.0,=,9.0,=,2.0,>,1000.0
CHEMBL2403108,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,CHEMBL3745656,=,41.0,=,164.0,=,101.0,=,64.0,=,2747.0,=,668.0,=,444.0,=,57.0,=,33.0,=,5512.0
CHEMBL3397300,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,CHEMBL3745656,=,5.0,=,3.0,=,12.0,=,3.0,=,2300.0,=,142.0,=,56.0,=,2.0,=,12.0,=,1921.0
CHEMBL3734844,CCc1cc2c(cc1-c1cnn(C3CCOCC3)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,78.0,=,58.0,=,105.0,=,535.0,=,781.0,=,620.0,=,20.0,=,177.0,=,53.0,=,924.0
CHEMBL3735401,CCc1cc2c(cc1-c1cnn(CC(=O)N(C)C)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,2.0,=,2.0,=,2.0,=,58.0,=,196.0,=,107.0,=,2.0,=,3.0,=,2.0,=,591.0
CHEMBL3736273,CCc1cc2c(cc1-c1cnn(C3CCNCC3)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,40.0,=,24.0,=,87.0,=,262.0,=,297.0,=,161.0,=,37.0,=,146.0,=,29.0,=,768.0
CHEMBL3746395,CCc1cc2c(cc1-c1cnoc1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,59.0,=,116.0,=,131.0,=,634.0,=,345.0,=,925.0,=,82.0,=,186.0,=,728.0,=,7324.0
CHEMBL3746482,CCc1cc2c(cc1-c1cn[nH]c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,64.0,=,59.0,=,94.0,=,422.0,=,284.0,=,376.0,=,22.0,=,94.0,=,60.0,=,564.0
CHEMBL3746522,CCc1cc2c(cc1-c1cnn(CCN(C)C)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,2.0,=,24.0,=,54.0,=,80.0,=,548.0,=,77.0,=,8.0,=,11.0,=,6.0,=,1338.0
CHEMBL3746665,CCc1cc2c(cc1N1CCC(N(C)C)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,2.0,=,2.0,=,2.0,=,10.0,=,695.0,=,53.0,=,214.0,=,3.0,=,2.0,=,6255.0
CHEMBL3746678,CCc1cc2c(cc1-c1cnn(CCCN(C)C)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,14.0,=,8.0,=,19.0,=,94.0,=,286.0,=,67.0,=,14.0,=,23.0,=,11.0,=,831.0
CHEMBL3746960,CCc1cc2c(cc1N1CCN(C)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,2.0,=,9.0,=,27.0,=,199.0,=,617.0,=,203.0,=,478.0,=,50.0,=,2.0,=,5646.0
CHEMBL3747108,CCc1cc2c(cc1-c1cnn(C(=O)N(C)C)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,56.0,=,58.0,=,112.0,=,483.0,=,711.0,=,628.0,=,25.0,=,153.0,=,59.0,=,1647.0
CHEMBL3747134,CCc1cc2c(cc1-c1cc[nH]n1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,50.0,=,91.0,=,81.0,=,273.0,=,167.0,=,289.0,=,32.0,=,123.0,=,55.0,=,545.0
CHEMBL3747267,CCc1cc2c(cc1-c1cnn(C(C)(C)C(=O)N(C)C)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,6.0,=,12.0,=,14.0,=,91.0,=,219.0,=,115.0,=,2.0,=,39.0,=,8.0,=,577.0
CHEMBL3747406,CCc1cc2c(cc1-c1cnn(C)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,61.0,=,150.0,=,84.0,=,370.0,=,5750.0,=,4409.0,=,21.0,=,200.0,=,104.0,=,1651.0
CHEMBL3747611,CCc1cc2c(cc1-c1cnn[nH]1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL3745656,=,115.0,=,177.0,=,188.0,=,629.0,=,345.0,=,821.0,=,80.0,=,256.0,=,1609.0,=,3014.0
CHEMBL601719,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,CHEMBL3745656,=,56.0,=,144.0,=,81.0,=,549.0,=,645.0,=,857.0,=,328.0,=,512.0,=,65.0,=,927.0
