strategy,molecule_a,molecule_b,condition,assay_id,a_ic50_nM,a_relation,b_ic50_nM,b_relation,within_pair_abs_log10_gap,readout,selection_status
contrast_matched_v0,CHEMBL3746665,CHEMBL3746960,WT,CHEMBL3748820,2.0,=,2.0,=,0.000000,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",used_for_pair_selection
contrast_matched_v0,CHEMBL3746665,CHEMBL3746960,C1156Y,CHEMBL3748821,2.0,=,9.0,=,0.653213,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
contrast_matched_v0,CHEMBL3746665,CHEMBL3746960,F1174L,CHEMBL3748822,2.0,=,27.0,=,1.130334,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
contrast_matched_v0,CHEMBL3746665,CHEMBL3746960,L1196M,CHEMBL3748823,10.0,=,199.0,=,1.298853,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",used_for_pair_selection
contrast_matched_v0,CHEMBL3746665,CHEMBL3746960,L1152R,CHEMBL3748824,695.0,=,617.0,=,0.051700,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
contrast_matched_v0,CHEMBL3746665,CHEMBL3746960,1151Tins,CHEMBL3748825,53.0,=,203.0,=,0.583220,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
contrast_matched_v0,CHEMBL3746665,CHEMBL3746960,G1202R,CHEMBL3748826,214.0,=,478.0,=,0.349014,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
contrast_matched_v0,CHEMBL3746665,CHEMBL3746960,G1269A,CHEMBL3748827,3.0,=,50.0,=,1.221849,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
contrast_matched_v0,CHEMBL3746665,CHEMBL3746960,S1206Y,CHEMBL3748828,2.0,=,2.0,=,0.000000,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
contrast_matched_v0,CHEMBL3746665,CHEMBL3746960,parental_BaF3,CHEMBL3748829,6255.0,=,5646.0,=,0.044486,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
first_potency,CHEMBL1738797,CHEMBL3735401,WT,CHEMBL3748820,2.0,=,2.0,=,0.000000,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",used_for_pair_selection
first_potency,CHEMBL1738797,CHEMBL3735401,C1156Y,CHEMBL3748821,2.0,=,2.0,=,0.000000,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
