molecule_id,assay_axis,assay_id,activity_id,source_document,assay_description,standard_type,relation,value,units,potential_duplicate,data_validity_comment
CHEMBL2180727,R132C_enzyme,CHEMBL2188256,12147150,CHEMBL2176947,Inhibition of IDH1 R132C mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,160.0,nM,0,
CHEMBL2180727,HT1080_2HG,CHEMBL2188255,12147134,CHEMBL2176947,Inhibition of IDH1 R132C mutant overexpressed in human HT1080 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,480.0,nM,0,
CHEMBL2180727,R132H_enzyme,CHEMBL2188262,12147163,CHEMBL2176947,Inhibition of IDH1 R132H mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,70.0,nM,0,
CHEMBL2180727,U87_2HG,CHEMBL2188258,12147161,CHEMBL2176947,Inhibition of IDH1 R132H mutant expressed in human U87 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,70.0,nM,0,
CHEMBL2180727,WT_enzyme,CHEMBL2188253,12147194,CHEMBL2176947,Inhibition of wild type IDH1 using DL-isocitrate as substrate by resazurin-based fluorimetric analysis,IC50,>,100000.0,nM,0,
CHEMBL2180727,HT1080_growth,CHEMBL2188254,12147179,CHEMBL2176947,Growth inhibition of human HT1080 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180727,U87_growth,CHEMBL2188257,12147186,CHEMBL2176947,Growth inhibition of human U87 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180728,R132C_enzyme,CHEMBL2188256,12147173,CHEMBL2176947,Inhibition of IDH1 R132C mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,40.0,nM,0,
CHEMBL2180728,HT1080_2HG,CHEMBL2188255,12147154,CHEMBL2176947,Inhibition of IDH1 R132C mutant overexpressed in human HT1080 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,110.0,nM,0,
CHEMBL2180728,R132H_enzyme,CHEMBL2188262,12147158,CHEMBL2176947,Inhibition of IDH1 R132H mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,80.0,nM,0,
CHEMBL2180728,U87_2HG,CHEMBL2188258,12147143,CHEMBL2176947,Inhibition of IDH1 R132H mutant expressed in human U87 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,240.0,nM,0,
CHEMBL2180728,WT_enzyme,CHEMBL2188253,12147193,CHEMBL2176947,Inhibition of wild type IDH1 using DL-isocitrate as substrate by resazurin-based fluorimetric analysis,IC50,>,100000.0,nM,0,
CHEMBL2180728,HT1080_growth,CHEMBL2188254,12147178,CHEMBL2176947,Growth inhibition of human HT1080 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180728,U87_growth,CHEMBL2188257,12147185,CHEMBL2176947,Growth inhibition of human U87 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180729,R132C_enzyme,CHEMBL2188256,12147172,CHEMBL2176947,Inhibition of IDH1 R132C mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,40.0,nM,0,
CHEMBL2180729,HT1080_2HG,CHEMBL2188255,12147149,CHEMBL2176947,Inhibition of IDH1 R132C mutant overexpressed in human HT1080 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,170.0,nM,0,
CHEMBL2180729,R132H_enzyme,CHEMBL2188262,12147162,CHEMBL2176947,Inhibition of IDH1 R132H mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,70.0,nM,0,
CHEMBL2180729,U87_2HG,CHEMBL2188258,12147138,CHEMBL2176947,Inhibition of IDH1 R132H mutant expressed in human U87 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,IC50,=,370.0,nM,0,
CHEMBL2180729,WT_enzyme,CHEMBL2188253,12147192,CHEMBL2176947,Inhibition of wild type IDH1 using DL-isocitrate as substrate by resazurin-based fluorimetric analysis,IC50,>,100000.0,nM,0,
CHEMBL2180729,HT1080_growth,CHEMBL2188254,12147177,CHEMBL2176947,Growth inhibition of human HT1080 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180729,U87_growth,CHEMBL2188257,12147184,CHEMBL2176947,Growth inhibition of human U87 cells after 72 hrs by CellTiter-Glo assay,GI50,>,20000.0,nM,0,
CHEMBL2180730,R132C_enzyme,CHEMBL2188256,12147175,CHEMBL2176947,Inhibition of IDH1 R132C mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,IC50,=,30.0,nM,0,
