comparison,molecule_chembl_id,canonical_smiles_first,activity_id_first,nM_first,potential_duplicate_first,data_validity_comment_first,document_chembl_id_first,canonical_smiles_second,activity_id_second,nM_second,potential_duplicate_second,data_validity_comment_second,document_chembl_id_second,pIC50_first,pIC50_second,delta_log10_second_over_first
renin_plasma_vs_trypsin,CHEMBL1639,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,3076310,0.65,0,,CHEMBL1153179,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,3076309,0.53,0,,CHEMBL1153179,9.187086643357144,9.275724130399212,-0.08863748704206653
renin_plasma_vs_trypsin,CHEMBL496416,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCO)c2cccc(Cl)c2)C1,3076259,315.0,1,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCO)c2cccc(Cl)c2)C1,3076258,21.0,1,,CHEMBL1153179,6.501689446210399,7.6777807052660805,-1.1760912590556813
renin_plasma_vs_trypsin,CHEMBL496430,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(Cl)c2)C1,3076257,13.0,1,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(Cl)c2)C1,3076256,0.47,1,,CHEMBL1153179,7.886056647693163,9.327902142064282,-1.4418454943711192
renin_plasma_vs_trypsin,CHEMBL497821,CCOCCCO[C@@H](c1ccccc1)[C@@H]1CCCN(C(=O)N[C@H](CNC)CC2CCCCC2)C1,3076402,447.0,1,,CHEMBL1153179,CCOCCCO[C@@H](c1ccccc1)[C@@H]1CCCN(C(=O)N[C@H](CNC)CC2CCCCC2)C1,3076339,40.0,1,,CHEMBL1153179,6.349692476868063,7.3979400086720375,-1.0482475318039741
renin_plasma_vs_trypsin,CHEMBL589399,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(C)=O)c2cccc(Cl)c2)C1,3076261,16.0,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(C)=O)c2cccc(Cl)c2)C1,3076260,1.3,0,,CHEMBL1153179,7.795880017344075,8.886056647693163,-1.090176630349088
renin_plasma_vs_trypsin,CHEMBL589647,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cc(F)cc(F)c2)C1,3076306,1.2,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cc(F)cc(F)c2)C1,3076305,0.23,0,,CHEMBL1153179,8.920818753952375,9.638272163982407,-0.7174534100300319
renin_plasma_vs_trypsin,CHEMBL590388,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cc(Cl)ccc2F)C1,3076302,2.1,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cc(Cl)ccc2F)C1,3076301,0.62,0,,CHEMBL1153179,8.67778070526608,9.207608310501746,-0.5298276052356654
renin_plasma_vs_trypsin,CHEMBL590623,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(Cl)c2F)C1,3076300,3.4,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(Cl)c2F)C1,3076299,0.61,0,,CHEMBL1153179,8.468521082957745,9.214670164989233,-0.7461490820314881
renin_plasma_vs_trypsin,CHEMBL590866,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2ccc(F)c(F)c2)C1,3076304,16.6,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2ccc(F)c(F)c2)C1,3076303,2.5,0,,CHEMBL1153179,7.779891911959945,8.602059991327963,-0.8221680793680175
renin_plasma_vs_trypsin,CHEMBL590868,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(F)c2F)C1,3076296,6.2,0,,CHEMBL1153179,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(F)c2F)C1,3076295,1.7,0,,CHEMBL1153179,8.207608310501746,8.769551078621726,-0.56194276811998
